번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
13165,4530000-S202400004,2024-10-29,,사용중,석림 중앙하이츠빌,공공용시설,"충청남도 서산시 석림1로 20 (석림동, 석림중앙하이츠빌)",충청남도 서산시 석림동 416-1 석림중앙하이츠빌,32003.0,지하,69134.33,83798,2025-01-24 10:30:43,U,2025-01-26 02:40:00,36,46,1.6,126,28,2.03,36.7671119537655,126.467231822217,907827.4288195156,1863720.0968453211,충청남도
13166,4540000-S199600001,1996-03-01,2023-04-10,사용중지,연무읍 행정복지센터(연무읍사무소),공공용시설,"충청남도 논산시 연무읍 안심로 50, 연무읍사무소",충청남도 논산시 연무읍 마산리 700-1 연무읍사무소,33007.0,지하,190.0,230,2023-04-10 09:41:20,I,2023-07-28 01:14:45,36,7,31.58,127,5,55.87,36.12544021085901,127.09885138954508,963902.682386,1792121.232173,충청남도
13167,4540000-S199600002,1996-03-01,,사용중,논산시청 지하 1층,공공용시설,"충청남도 논산시 시민로210번길 9 (내동, 논산시청)",충청남도 논산시 내동 824번지,32987.0,지하,500.0,606,2024-07-08 17:17:35,U,2024-07-10 02:40:00,36,11,10.77,127,5,54.76,36.18632424177772,127.09854443820542,963902.978284,1798874.502071,충청남도
13168,4540000-S199600004,1996-03-01,,사용중,부영아파트(지하1층),공공용시설,"충청남도 논산시 시민로307번길 28 (강산동, 부영아파트)",충청남도 논산시 강산동 643번지,32977.0,지하,5073.0,6149,2024-07-04 09:26:06,U,2024-07-06 02:40:00,36,11,32.12,127,5,19.74,36.19225432565645,127.08881766352424,963031.174523,1799535.923005,충청남도
13169,4540000-S199800007,1998-11-01,,사용중,기산아파트 지하2층,공공용시설,충청남도 논산시 연무읍 동안로 870(기산아파트),충청남도 논산시 연무읍 동산리 903-17 기산아파트,33008.0,지하,8000.0,9696,2025-01-14 16:09:53,U,2025-01-16 02:40:00,36,8,2.92,127,6,6.01,36.13418151371826,127.10148864675524,964143.973133,1793089.822331,충청남도
13170,4540000-S199800011,1998-11-01,,사용중,내동 동신아파트 지하 1층,공공용시설,"충청남도 논산시 체육로 48-6 (내동, 동신아파트)",충청남도 논산시 내동 535번지,32985.0,지하,4300.0,5212,2025-01-10 18:37:34,U,2025-01-12 02:40:00,36,11,22.52,127,6,3.7,36.18958981105937,127.10102637266198,964127.632667,1799235.795143,충청남도
13171,4540000-S199800017,1998-11-01,,사용중,대림아파트(지하1층),공공용시설,"충청남도 논산시 대림길 7 (부창동, 대림아파트)",충청남도 논산시 부창동 209번지 4호,32955.0,지하,3000.0,3636,2024-07-04 09:33:23,U,2024-07-06 02:40:00,36,11,50.83,127,5,4.27,36.19745179119146,127.0845184178867,962647.102098,1800114.067955,충청남도
13172,4540000-S199800019,1998-03-01,,사용중,동신아파트(지하1층),공공용시설,"충청남도 논산시 시민로307번길 19 (강산동, 동신아파트)",충청남도 논산시 강산동 645번지,32981.0,지하,2400.0,2909,2024-07-04 09:39:33,U,2024-07-06 02:40:00,36,11,30.63,127,5,22.57,36.191841221284776,127.08960397314792,963101.677078,1799489.802553,충청남도
13173,4540000-S200000002,2000-08-01,,사용중,조흥아파트(지하1층),공공용시설,충청남도 논산시 강경읍 대흥로5번길 37(조흥아파트),충청남도 논산시 강경읍 대흥리 35 조흥아파트,32939.0,지하,6700.0,8121,2024-07-08 17:18:54,U,2024-07-10 02:40:00,36,9,9.68,127,0,43.34,36.15265680229111,127.01194266321966,956097.321995,1795175.832063,충청남도
13174,4540000-S200000003,2000-09-01,,사용중,"건양대학교(건양회관, 명학관, 의공학관)",공공용시설,충청남도 논산시 대학로 121 (관촉동),충청남도 논산시 관촉동 26번지,32995.0,지하,3200.0,3878,2025-01-10 18:38:40,U,2025-01-12 02:40:00,36,10,58.97,127,6,40.84,36.180874613873335,127.11109318552444,965028.886502,1798265.440995,충청남도
13175,4540000-S200700001,2007-11-23,,사용중,금강빌리지아파트 지하1층,공공용시설,충청남도 논산시 강경읍 동안로 96(금강빌리지임대아파트),충청남도 논산시 강경읍 산양리 249-2 금강빌리지임대아파트,32942.0,지하,1200.0,1454,2024-07-08 17:19:45,U,2024-07-10 02:40:00,36,9,3.83,127,1,23.54,36.15106323042559,127.02320453478804,957109.511169,1794994.043065,충청남도
13176,4540000-S200700002,2007-02-01,,사용중,청소년수련관 지하 1층,공공용시설,"충청남도 논산시 논산대로 424 (지산동, 논산시청소년수련관)",충청남도 논산시 지산동 459번지,32993.0,지하,1630.0,1975,2024-07-08 17:20:24,U,2024-07-10 02:40:00,36,11,50.53,127,6,22.26,36.19748625538565,127.10619174071292,964595.616535,1800109.763694,충청남도
